symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2026-05-28 16:35:00+00:00,310.25,310.31,309.91,309.91,13262.0,228.0,310.090441
AAPL,2026-05-28 16:40:00+00:00,309.91,309.91,309.57,309.8,26057.0,479.0,309.775798
AAPL,2026-05-28 16:45:00+00:00,309.81,310.11,309.57,310.03,13366.0,255.0,309.801505
AAPL,2026-05-28 16:50:00+00:00,309.98,310.29,309.975,310.1,8445.0,174.0,310.103447
AAPL,2026-05-28 16:55:00+00:00,310.15,310.68,310.15,310.555,16540.0,349.0,310.399706
AAPL,2026-05-28 17:00:00+00:00,310.58,311.32,310.575,311.29,15074.0,373.0,310.825672
AAPL,2026-05-28 17:05:00+00:00,311.28,311.61,311.1,311.1,12120.0,224.0,311.387247
AAPL,2026-05-28 17:10:00+00:00,311.11,311.24,310.87,310.93,7062.0,176.0,311.063616
AAPL,2026-05-28 17:15:00+00:00,310.88,310.975,310.62,310.95,11614.0,268.0,310.803217
AAPL,2026-05-28 17:20:00+00:00,310.96,311.07,310.89,310.96,16445.0,354.0,310.982667
AAPL,2026-05-28 17:25:00+00:00,310.9,311.03,310.755,310.79,18079.0,345.0,310.955734
AAPL,2026-05-28 17:30:00+00:00,310.805,310.895,310.695,310.73,17267.0,353.0,310.806343
AAPL,2026-05-28 17:35:00+00:00,310.74,310.965,310.69,310.82,23439.0,504.0,310.842146
AAPL,2026-05-28 17:40:00+00:00,310.8,311.01,310.62,310.66,25971.0,561.0,310.778059
AAPL,2026-05-28 17:45:00+00:00,310.66,310.74,310.495,310.645,19060.0,459.0,310.607501
AAPL,2026-05-28 17:50:00+00:00,310.655,310.69,310.125,310.27,24685.0,543.0,310.448253
AAPL,2026-05-28 17:55:00+00:00,310.24,310.48,310.19,310.385,20343.0,452.0,310.335282
AAPL,2026-05-28 18:00:00+00:00,310.4,310.535,310.23,310.485,17400.0,386.0,310.416441
AAPL,2026-05-28 18:05:00+00:00,310.5,310.71,310.5,310.51,13518.0,345.0,310.592855
AAPL,2026-05-28 18:10:00+00:00,310.49,310.815,310.49,310.695,15814.0,311.0,310.59806
AAPL,2026-05-28 18:15:00+00:00,310.69,310.78,310.49,310.57,14495.0,276.0,310.618752
AAPL,2026-05-28 18:20:00+00:00,310.56,310.72,310.54,310.65,11942.0,242.0,310.642376
AAPL,2026-05-28 18:25:00+00:00,310.65,311.0,310.55,310.84,15920.0,325.0,310.735706
AAPL,2026-05-28 18:30:00+00:00,310.795,311.345,310.795,311.26,10752.0,251.0,311.138874
AAPL,2026-05-28 18:35:00+00:00,311.26,311.265,310.83,311.01,14312.0,296.0,311.029253
AAPL,2026-05-28 18:40:00+00:00,311.025,311.26,310.93,310.98,20625.0,441.0,311.081098
AAPL,2026-05-28 18:45:00+00:00,311.0,311.17,310.87,311.07,17092.0,318.0,311.034269
AAPL,2026-05-28 18:50:00+00:00,311.05,311.115,310.91,310.97,12143.0,275.0,311.019134
AAPL,2026-05-28 18:55:00+00:00,310.985,311.125,310.88,310.88,14498.0,300.0,311.008004
AAPL,2026-05-28 19:00:00+00:00,310.87,310.88,310.63,310.74,14771.0,298.0,310.741831
AAPL,2026-05-28 19:05:00+00:00,310.74,310.84,310.4,310.43,19911.0,343.0,310.575055
AAPL,2026-05-28 19:10:00+00:00,310.42,310.63,310.26,310.61,23303.0,415.0,310.416176
AAPL,2026-05-28 19:15:00+00:00,310.57,310.94,310.53,310.82,12598.0,273.0,310.698877
AAPL,2026-05-28 19:20:00+00:00,310.8,311.35,310.67,311.29,21082.0,413.0,310.971629
AAPL,2026-05-28 19:25:00+00:00,311.21,311.32,311.055,311.315,25970.0,416.0,311.193785
AAPL,2026-05-28 19:30:00+00:00,311.31,311.36,310.975,311.155,31520.0,460.0,311.14495
AAPL,2026-05-28 19:35:00+00:00,311.165,311.52,311.12,311.5,22912.0,422.0,311.273776
AAPL,2026-05-28 19:40:00+00:00,311.5,311.5,311.3,311.31,19257.0,358.0,311.389133
AAPL,2026-05-28 19:45:00+00:00,311.285,311.585,311.28,311.465,12707.0,300.0,311.457208
AAPL,2026-05-28 19:50:00+00:00,311.43,312.25,311.4,312.25,43687.0,777.0,311.947501
AAPL,2026-05-28 19:55:00+00:00,312.25,312.55,312.23,312.45,109418.0,1769.0,312.451869
AAPL,2026-05-28 20:55:00+00:00,312.33,312.33,312.33,312.33,50.0,1.0,312.33
AAPL,2026-05-29 12:10:00+00:00,311.4,311.4,311.4,311.4,63.0,2.0,311.4
AAPL,2026-05-29 12:25:00+00:00,311.55,311.55,311.55,311.55,136.0,4.0,311.55
AAPL,2026-05-29 13:30:00+00:00,311.915,315.0,311.88,314.3,67334.0,1288.0,313.876409
AAPL,2026-05-29 13:35:00+00:00,314.375,314.68,313.675,314.185,49791.0,755.0,314.131554
AAPL,2026-05-29 13:40:00+00:00,314.21,314.96,313.72,314.03,44505.0,820.0,314.471891
AAPL,2026-05-29 13:45:00+00:00,313.99,314.15,312.9,313.44,25925.0,477.0,313.636799
AAPL,2026-05-29 13:50:00+00:00,313.35,313.54,313.075,313.36,17831.0,382.0,313.336337
AAPL,2026-05-29 13:55:00+00:00,313.34,313.56,313.19,313.48,20264.0,457.0,313.395289
AAPL,2026-05-29 14:00:00+00:00,313.5,313.73,313.16,313.475,20709.0,475.0,313.496878
AAPL,2026-05-29 14:05:00+00:00,313.375,313.375,312.82,312.96,15887.0,322.0,313.060102
AAPL,2026-05-29 14:10:00+00:00,312.97,313.4,312.905,313.33,27678.0,483.0,313.116467
AAPL,2026-05-29 14:15:00+00:00,313.32,313.35,312.88,313.06,22423.0,334.0,313.053193
AAPL,2026-05-29 14:20:00+00:00,313.03,313.59,312.89,313.37,21673.0,412.0,313.200333
AAPL,2026-05-29 14:25:00+00:00,313.37,313.87,313.31,313.68,24836.0,439.0,313.669145
AAPL,2026-05-29 14:30:00+00:00,313.645,314.04,313.505,313.87,49377.0,543.0,313.814593
AAPL,2026-05-29 14:35:00+00:00,313.81,313.97,313.33,313.46,29399.0,500.0,313.67778
AAPL,2026-05-29 14:40:00+00:00,313.42,313.73,312.9,313.01,29099.0,567.0,313.361246
AAPL,2026-05-29 14:45:00+00:00,312.995,312.995,312.14,312.25,26664.0,570.0,312.503385
AAPL,2026-05-29 14:50:00+00:00,312.235,312.505,311.86,311.95,28716.0,584.0,312.18205
AAPL,2026-05-29 14:55:00+00:00,311.97,312.13,311.15,311.42,39317.0,715.0,311.610526
AAPL,2026-05-29 15:00:00+00:00,311.36,311.45,310.62,310.675,37617.0,614.0,311.034453
AAPL,2026-05-29 15:05:00+00:00,310.67,310.94,310.43,310.93,45534.0,644.0,310.587289
AAPL,2026-05-29 15:10:00+00:00,310.91,310.93,310.51,310.85,30245.0,587.0,310.70998
AAPL,2026-05-29 15:15:00+00:00,310.87,311.72,310.87,311.6,20602.0,297.0,311.495815
AAPL,2026-05-29 15:20:00+00:00,311.59,311.75,311.435,311.55,13827.0,273.0,311.587088
AAPL,2026-05-29 15:25:00+00:00,311.51,312.0,311.285,311.8,13318.0,252.0,311.711557
AAPL,2026-05-29 15:30:00+00:00,311.79,311.92,311.705,311.82,11992.0,268.0,311.804306
AAPL,2026-05-29 15:35:00+00:00,311.77,311.995,311.62,311.755,9658.0,207.0,311.806849
AAPL,2026-05-29 15:40:00+00:00,311.74,311.975,311.25,311.3,12970.0,259.0,311.706193
AAPL,2026-05-29 15:45:00+00:00,311.3,311.36,310.98,311.23,21968.0,414.0,311.173188
AAPL,2026-05-29 15:50:00+00:00,311.23,311.24,310.915,310.99,17392.0,363.0,311.10995
AAPL,2026-05-29 15:55:00+00:00,310.99,311.21,310.59,310.59,17510.0,410.0,310.836763
AAPL,2026-05-29 16:00:00+00:00,310.61,311.265,310.45,311.14,18723.0,449.0,310.875721
AAPL,2026-05-29 16:05:00+00:00,311.13,311.165,310.99,311.11,11287.0,215.0,311.079605
AAPL,2026-05-29 16:10:00+00:00,311.07,311.355,311.07,311.13,9937.0,209.0,311.239474
AAPL,2026-05-29 16:15:00+00:00,311.11,311.185,310.98,311.13,6549.0,161.0,311.090646
AAPL,2026-05-29 16:20:00+00:00,311.13,311.47,311.05,311.12,20693.0,370.0,311.271471
AAPL,2026-05-29 16:25:00+00:00,311.115,311.28,310.87,311.19,14279.0,288.0,311.052962
AAPL,2026-05-29 16:30:00+00:00,311.18,311.59,311.06,311.455,12245.0,282.0,311.305902
AAPL,2026-05-29 16:35:00+00:00,311.495,311.68,311.39,311.62,7931.0,197.0,311.501288
AAPL,2026-05-29 16:40:00+00:00,311.615,311.68,311.36,311.4,5158.0,140.0,311.490784
AAPL,2026-05-29 16:45:00+00:00,311.41,311.41,311.2,311.27,9434.0,235.0,311.283027
AAPL,2026-05-29 16:50:00+00:00,311.26,311.29,310.975,311.09,10421.0,204.0,311.119705
AAPL,2026-05-29 16:55:00+00:00,311.075,311.13,310.87,311.09,6912.0,150.0,311.017922
AAPL,2026-05-29 17:00:00+00:00,311.09,311.1,310.69,310.69,8457.0,173.0,310.874757
AAPL,2026-05-29 17:05:00+00:00,310.73,310.8,310.6,310.68,6002.0,136.0,310.693409
AAPL,2026-05-29 17:10:00+00:00,310.69,310.71,310.445,310.7,6545.0,145.0,310.576974
AAPL,2026-05-29 17:15:00+00:00,310.705,310.71,310.31,310.34,6275.0,134.0,310.517118
AAPL,2026-05-29 17:20:00+00:00,310.37,310.57,310.22,310.49,10169.0,237.0,310.343299
AAPL,2026-05-29 17:25:00+00:00,310.48,310.545,310.31,310.41,7095.0,174.0,310.392976
AAPL,2026-05-29 17:30:00+00:00,310.415,310.51,310.075,310.195,8979.0,227.0,310.308582
AAPL,2026-05-29 17:35:00+00:00,310.17,310.235,309.92,310.005,11297.0,222.0,310.083664
AAPL,2026-05-29 17:40:00+00:00,310.01,310.17,309.92,310.045,13202.0,325.0,310.00724
AAPL,2026-05-29 17:45:00+00:00,310.045,310.105,309.825,309.855,15127.0,292.0,309.990921
AAPL,2026-05-29 17:50:00+00:00,309.86,310.03,309.775,309.91,11176.0,289.0,309.913894
AAPL,2026-05-29 17:55:00+00:00,309.875,309.935,309.54,309.58,13954.0,286.0,309.702517
AAPL,2026-05-29 18:00:00+00:00,309.56,310.04,309.54,309.825,23725.0,360.0,309.836904
AAPL,2026-05-29 18:05:00+00:00,309.82,310.25,309.81,310.24,18429.0,336.0,309.957831
AAPL,2026-05-29 18:10:00+00:00,310.205,310.275,310.0,310.1,14300.0,229.0,310.192235
AAPL,2026-05-29 18:15:00+00:00,310.1,310.26,310.045,310.26,10894.0,218.0,310.131607
AAPL,2026-05-29 18:20:00+00:00,310.255,310.27,310.07,310.13,14560.0,298.0,310.213996
AAPL,2026-05-29 18:25:00+00:00,310.09,310.355,310.06,310.25,34251.0,517.0,310.266046
AAPL,2026-05-29 18:30:00+00:00,310.255,310.64,310.255,310.635,15665.0,334.0,310.473369
AAPL,2026-05-29 18:35:00+00:00,310.62,310.67,310.4,310.425,13609.0,327.0,310.523117
AAPL,2026-05-29 18:40:00+00:00,310.415,310.635,310.365,310.575,14004.0,296.0,310.455219
AAPL,2026-05-29 18:45:00+00:00,310.58,310.585,310.24,310.43,14993.0,332.0,310.42866
AAPL,2026-05-29 18:50:00+00:00,310.44,310.55,310.35,310.52,9753.0,258.0,310.465842
AAPL,2026-05-29 18:55:00+00:00,310.53,310.77,310.505,310.57,10589.0,245.0,310.602816
AAPL,2026-05-29 19:00:00+00:00,310.605,311.09,310.585,311.035,13020.0,251.0,310.847703
AAPL,2026-05-29 19:05:00+00:00,311.04,311.44,311.04,311.21,9146.0,221.0,311.332035
AAPL,2026-05-29 19:10:00+00:00,311.205,311.61,311.185,311.565,8246.0,197.0,311.469338
AAPL,2026-05-29 19:15:00+00:00,311.57,311.59,311.22,311.29,16227.0,427.0,311.407348
AAPL,2026-05-29 19:20:00+00:00,311.28,311.465,310.9,311.435,18416.0,400.0,311.119103
AAPL,2026-05-29 19:25:00+00:00,311.435,311.63,311.34,311.445,8987.0,257.0,311.486426
AAPL,2026-05-29 19:30:00+00:00,311.445,311.72,311.36,311.69,12441.0,319.0,311.56285
AAPL,2026-05-29 19:35:00+00:00,311.72,311.975,311.58,311.89,20842.0,418.0,311.776759
AAPL,2026-05-29 19:40:00+00:00,311.87,311.93,311.66,311.75,19893.0,384.0,311.808758
AAPL,2026-05-29 19:45:00+00:00,311.75,311.875,311.6,311.7,22813.0,416.0,311.735702
AAPL,2026-05-29 19:50:00+00:00,311.72,313.02,311.72,312.78,86199.0,1314.0,312.646018
AAPL,2026-05-29 19:55:00+00:00,312.735,312.735,311.825,312.01,121871.0,1870.0,312.005562
AAPL,2026-05-29 20:00:00+00:00,311.85,311.85,311.81,311.81,250.0,7.0,311.83
AAPL,2026-05-29 20:05:00+00:00,311.96,311.96,311.96,311.96,80.0,3.0,311.96
AAPL,2026-05-29 20:15:00+00:00,311.48,311.48,311.48,311.48,80.0,1.0,311.48
AAPL,2026-06-01 12:10:00+00:00,310.13,310.13,310.13,310.13,140.0,4.0,310.13
AAPL,2026-06-01 12:20:00+00:00,310.44,310.44,310.44,310.44,110.0,4.0,310.44
AAPL,2026-06-01 12:55:00+00:00,310.86,310.86,310.86,310.86,101.0,3.0,310.86
AAPL,2026-06-01 13:20:00+00:00,310.39,310.67,310.39,310.67,223.0,7.0,310.490513
AAPL,2026-06-01 13:30:00+00:00,309.6,310.56,308.55,310.04,70170.0,1391.0,309.804278
AAPL,2026-06-01 13:35:00+00:00,310.04,310.94,309.63,309.82,30401.0,606.0,310.252529
AAPL,2026-06-01 13:40:00+00:00,309.82,310.1,309.17,309.5,40139.0,762.0,309.595502
AAPL,2026-06-01 13:45:00+00:00,309.53,310.25,309.3,310.15,31220.0,539.0,309.929648
AAPL,2026-06-01 13:50:00+00:00,310.17,310.595,309.38,309.43,36555.0,626.0,309.820764
AAPL,2026-06-01 13:55:00+00:00,309.34,310.33,309.17,310.045,30231.0,586.0,309.883955
AAPL,2026-06-01 14:00:00+00:00,310.05,310.24,309.14,309.2,23088.0,491.0,309.714674
AAPL,2026-06-01 14:05:00+00:00,309.185,310.11,309.18,309.79,40419.0,690.0,309.696704
AAPL,2026-06-01 14:10:00+00:00,309.82,309.82,309.19,309.72,29249.0,635.0,309.466448
AAPL,2026-06-01 14:15:00+00:00,309.7,310.1,309.57,309.68,26116.0,512.0,309.824146
AAPL,2026-06-01 14:20:00+00:00,309.64,309.935,309.015,309.02,20637.0,379.0,309.482935
AAPL,2026-06-01 14:25:00+00:00,308.97,308.97,307.82,307.85,18265.0,340.0,308.565847
AAPL,2026-06-01 14:30:00+00:00,307.85,308.445,307.6,307.63,47434.0,697.0,308.042927
AAPL,2026-06-01 14:35:00+00:00,307.61,308.06,307.555,307.605,20822.0,454.0,307.786792
AAPL,2026-06-01 14:40:00+00:00,307.545,307.77,307.36,307.75,24179.0,483.0,307.57068
AAPL,2026-06-01 14:45:00+00:00,307.82,307.82,306.63,306.9,36896.0,521.0,307.056452
AAPL,2026-06-01 14:50:00+00:00,306.81,306.95,306.57,306.85,47233.0,718.0,306.794969
AAPL,2026-06-01 14:55:00+00:00,306.84,307.12,306.56,306.84,18297.0,329.0,306.847968
AAPL,2026-06-01 15:00:00+00:00,307.0,307.41,306.9,307.27,8152.0,195.0,307.093177
AAPL,2026-06-01 15:05:00+00:00,307.23,307.53,306.95,306.95,19820.0,309.0,307.183295
AAPL,2026-06-01 15:10:00+00:00,306.96,306.96,306.36,306.815,22760.0,397.0,306.705258
AAPL,2026-06-01 15:15:00+00:00,306.905,307.08,306.535,306.65,15092.0,247.0,306.82421
AAPL,2026-06-01 15:20:00+00:00,306.645,306.725,306.5,306.58,9430.0,208.0,306.610236
AAPL,2026-06-01 15:25:00+00:00,306.59,306.72,306.47,306.56,11877.0,220.0,306.599105
AAPL,2026-06-01 15:30:00+00:00,306.54,307.13,306.525,307.005,31677.0,510.0,306.870325
AAPL,2026-06-01 15:35:00+00:00,306.98,307.17,306.76,306.9,26424.0,463.0,306.966906
AAPL,2026-06-01 15:40:00+00:00,306.89,307.24,306.74,306.82,20805.0,422.0,306.987531
AAPL,2026-06-01 15:45:00+00:00,306.82,307.03,306.49,306.65,20771.0,355.0,306.79147
AAPL,2026-06-01 15:50:00+00:00,306.66,306.82,306.45,306.76,8953.0,185.0,306.647389
AAPL,2026-06-01 15:55:00+00:00,306.825,307.0,306.76,306.83,9123.0,155.0,306.863144
AAPL,2026-06-01 16:00:00+00:00,306.85,306.945,306.8,306.84,12897.0,183.0,306.88026
AAPL,2026-06-01 16:05:00+00:00,306.85,306.87,306.65,306.78,31629.0,253.0,306.740105
AAPL,2026-06-01 16:10:00+00:00,306.725,306.73,306.13,306.13,13853.0,219.0,306.511748
AAPL,2026-06-01 16:15:00+00:00,306.045,306.19,305.73,305.975,17745.0,328.0,305.94088
AAPL,2026-06-01 16:20:00+00:00,305.98,306.02,305.66,305.815,14657.0,254.0,305.844443
AAPL,2026-06-01 16:25:00+00:00,305.72,305.76,305.5,305.72,12960.0,237.0,305.677734
AAPL,2026-06-01 16:30:00+00:00,305.81,306.15,305.66,305.985,11322.0,227.0,305.884981
AAPL,2026-06-01 16:35:00+00:00,306.0,306.0,305.755,305.82,8819.0,190.0,305.912715
AAPL,2026-06-01 16:40:00+00:00,305.85,306.14,305.83,306.07,10565.0,182.0,306.01456
AAPL,2026-06-01 16:45:00+00:00,306.07,306.12,305.92,306.05,12077.0,209.0,306.031708
AAPL,2026-06-01 16:50:00+00:00,306.12,306.37,306.0,306.27,16204.0,295.0,306.192583
AAPL,2026-06-01 16:55:00+00:00,306.25,306.52,306.04,306.19,12506.0,211.0,306.32245
AAPL,2026-06-01 17:00:00+00:00,306.18,306.18,305.46,305.71,12640.0,247.0,305.774603
AAPL,2026-06-01 17:05:00+00:00,305.7,305.735,305.03,305.08,13493.0,153.0,305.372602
AAPL,2026-06-01 17:10:00+00:00,305.11,305.77,305.11,305.76,11904.0,212.0,305.396518
AAPL,2026-06-01 17:15:00+00:00,305.74,305.74,305.26,305.26,12654.0,249.0,305.469871
AAPL,2026-06-01 17:20:00+00:00,305.26,305.655,305.25,305.635,13543.0,258.0,305.520994
AAPL,2026-06-01 17:25:00+00:00,305.63,306.505,305.62,306.48,16813.0,365.0,306.080842
AAPL,2026-06-01 17:30:00+00:00,306.415,306.59,306.31,306.52,9305.0,212.0,306.428621
AAPL,2026-06-01 17:35:00+00:00,306.51,307.16,306.47,307.03,25529.0,431.0,306.860301
AAPL,2026-06-01 17:40:00+00:00,307.02,308.01,306.965,307.78,21169.0,453.0,307.486652
AAPL,2026-06-01 17:45:00+00:00,307.785,307.92,307.555,307.85,22742.0,421.0,307.712648
AAPL,2026-06-01 17:50:00+00:00,307.89,308.37,307.89,308.14,16915.0,309.0,308.139931
AAPL,2026-06-01 17:55:00+00:00,308.15,308.19,307.725,307.75,15732.0,314.0,307.981373
AAPL,2026-06-01 18:00:00+00:00,307.76,307.785,307.575,307.65,8382.0,204.0,307.664339
AAPL,2026-06-01 18:05:00+00:00,307.675,307.77,307.38,307.52,12765.0,273.0,307.609476
AAPL,2026-06-01 18:10:00+00:00,307.5,307.61,307.29,307.47,11202.0,248.0,307.460574
